problem,vehicles,total_cost,sota_vehicles,sota_cost,gap
ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12.txt,13,110313.0,1,1,110312.0
ORTEC-VRPTW-ASYM-01829532-d1-n324-k22.txt,18,234615.0,1,1,234614.0
ORTEC-VRPTW-ASYM-02182cf8-d1-n327-k20.txt,15,158042.0,1,1,158041.0
ORTEC-VRPTW-ASYM-04c694cd-d1-n254-k18.txt,12,85526.0,1,1,85525.0
ORTEC-VRPTW-ASYM-0797afaf-d1-n313-k20.txt,18,139924.0,1,1,139923.0
ORTEC-VRPTW-ASYM-08d8e660-d1-n460-k42.txt,22,186960.0,1,1,186959.0
ORTEC-VRPTW-ASYM-0bdff870-d1-n458-k35.txt,24,256211.0,1,1,256210.0
ORTEC-VRPTW-ASYM-0dc59ef2-d1-n213-k25.txt,9,76517.0,1,1,76516.0
ORTEC-VRPTW-ASYM-11527044-d1-n470-k27.txt,24,247106.0,1,1,247105.0
ORTEC-VRPTW-ASYM-13db18b2-d1-n310-k20.txt,17,221727.0,1,1,221726.0
ORTEC-VRPTW-ASYM-152bab99-d1-n215-k20.txt,12,128799.0,1,1,128798.0
ORTEC-VRPTW-ASYM-16b82253-d1-n457-k30.txt,22,209637.0,1,1,209636.0
ORTEC-VRPTW-ASYM-19eafe1e-d1-n458-k35.txt,25,231538.0,1,1,231537.0
ORTEC-VRPTW-ASYM-1a452a2c-d1-n391-k23.txt,22,236425.0,1,1,236424.0
ORTEC-VRPTW-ASYM-1bc16246-d1-n503-k43.txt,24,232929.0,1,1,232928.0
ORTEC-VRPTW-ASYM-1bdf25a7-d1-n531-k43.txt,25,237185.0,1,1,237184.0
ORTEC-VRPTW-ASYM-1cd538a9-d1-n400-k25.txt,22,219224.0,1,1,219223.0
ORTEC-VRPTW-ASYM-1de83915-d1-n262-k15.txt,14,99440.0,1,1,99439.0
ORTEC-VRPTW-ASYM-1f1fffc4-d1-n332-k25.txt,17,121347.0,1,1,121346.0
ORTEC-VRPTW-ASYM-21e8376e-d1-n507-k30.txt,23,226131.0,1,1,226130.0
ORTEC-VRPTW-ASYM-26e86ad5-d1-n288-k20.txt,15,104322.0,1,1,104321.0
ORTEC-VRPTW-ASYM-27e27157-d1-n350-k22.txt,17,144502.0,1,1,144501.0
ORTEC-VRPTW-ASYM-293f7c12-d1-n237-k20.txt,11,104884.0,1,1,104883.0
ORTEC-VRPTW-ASYM-2aa3e5eb-d1-n239-k18.txt,11,83672.0,1,1,83671.0
ORTEC-VRPTW-ASYM-2c4cceaa-d1-n470-k35.txt,25,246408.0,1,1,246407.0
ORTEC-VRPTW-ASYM-2cbc6e34-d1-n454-k35.txt,25,258439.0,1,1,258438.0
ORTEC-VRPTW-ASYM-2d8735ce-d1-n270-k18.txt,12,88191.0,1,1,88190.0
ORTEC-VRPTW-ASYM-2e0a30ff-d1-n491-k36.txt,25,240358.0,1,1,240357.0
ORTEC-VRPTW-ASYM-2e2ef021-d1-n210-k17.txt,8,184905.0,1,1,184904.0
ORTEC-VRPTW-ASYM-30d4e457-d1-n290-k20.txt,16,157212.0,1,1,157211.0
ORTEC-VRPTW-ASYM-31c42adc-d1-n206-k12.txt,11,112072.0,1,1,112071.0
ORTEC-VRPTW-ASYM-31d5cfe6-d1-n252-k30.txt,13,89028.0,1,1,89027.0
ORTEC-VRPTW-ASYM-33202ac2-d1-n259-k25.txt,12,87426.0,1,1,87425.0
ORTEC-VRPTW-ASYM-359b0530-d1-n318-k20.txt,16,113036.0,1,1,113035.0
ORTEC-VRPTW-ASYM-35fbecef-d1-n220-k15.txt,10,73331.0,1,1,73330.0
ORTEC-VRPTW-ASYM-36b75313-d1-n225-k15.txt,13,141371.0,1,1,141370.0
ORTEC-VRPTW-ASYM-3709cf41-d1-n287-k19.txt,13,127895.0,1,1,127894.0
ORTEC-VRPTW-ASYM-37572525-d1-n240-k16.txt,11,81129.0,1,1,81128.0
ORTEC-VRPTW-ASYM-37bce731-d1-n239-k20.txt,12,118283.0,1,1,118282.0
ORTEC-VRPTW-ASYM-38e65f4b-d1-n443-k35.txt,21,194374.0,1,1,194373.0
ORTEC-VRPTW-ASYM-3cc58e3a-d1-n345-k22.txt,16,161942.0,1,1,161941.0
ORTEC-VRPTW-ASYM-3ce62772-d1-n241-k18.txt,15,150975.0,1,1,150974.0
ORTEC-VRPTW-ASYM-3eea4ee3-d1-n382-k23.txt,19,204500.0,1,1,204499.0
