problem,vehicle,distance
rc2_10_7,18,25059.8731
rc1_6_7,55,16105.68
rc2_4_9,8,4551.111
rc2_4_8,8,4792.6948
rc1_8_5,72,29924.3597
rc2_6_4,11,7065.7173
r2_4_10,8,5786.4016
r1_4_7,36,7617.5485
rc2_8_10,15,14412.3833
rc2_8_2,16,18151.9514
rc2_6_3,11,9440.3922
r2_8_9,15,22307.0974
rc2_10_9,18,22971.1372
r2_8_5,15,24259.3252
rc2_8_4,15,11000.9913
rc2_10_8,18,23649.3902
rc2_8_3,15,14428.6537
r2_8_6,15,20437.364
rc2_6_9,11,9574.9864
r2_10_3,19,24927.9852
rc2_8_8,15,15759.1875
rc2_6_8,11,9994.2058
rc2_8_5,15,19095.8314
rc2_8_6,15,18143.042
r2_10_8,19,17464.5432
rc2_8_7,15,16818.9627
r2_8_10,15,20358.6072
rc2_10_10,18,21885.9098
rc2_10_4,18,15714.6343
rc2_6_10,11,9059.5118
r1_4_2,36,8907.1423
r1_4_5,36,9222.9978
r1_10_6,91,47503.9183
r1_10_9,91,49900.3587
c1_10_9,90,40682.31
r2_4_5,8,7129.03
c1_10_10,90,40031.17
c2_6_9,17,7921.1828
rc1_4_3,36,7533.0537
rc1_4_9,36,7733.813
rc1_8_10,72,28554.0006
rc1_10_10,90,43679.613
rc1_10_5,90,45313.3836
rc1_10_7,90,44604.3358
c1_8_7,77,26486.14
c1_10_8,92,43029.9748
c2_6_3,17,7520.6614
c1_8_2,72,26591.8693
c1_8_3,72,24249.3452
c1_8_3,72,24257.32
r1_4_10,36,8094.1009
c2_4_8,11,4301.7482
r1_10_1,100,53473.2629
r1_10_4,91,42729.13
rc1_4_7,36,7948.5102
rc1_4_6,36,8164.9778
rc1_4_2,36,7892.5242
rc1_4_10,36,7596.0439
r1_8_5,72,33723.7731
c1_8_4,72,23827.02
r2_6_2,11,14779.26
rc2_8_7,15,16843.96
c2_10_2,29,17126.3876
r2_10_4,19,17880.11
r2_10_6,19,30073.6
r2_8_10,15,20401.47
r2_8_8,15,12645.63
c2_2_10,6,1806.5751
rc2_2_3,4,2601.874
r2_4_10,8,5791.7904
rc2_4_1,11,6682.3749
r1_4_1,40,10372.3124
r2_8_6,15,20479.46
r2_6_6,11,12503.26
rc2_4_3,8,4930.8368
rc2_6_10,11,9069.41
c1_6_10,56,13637.3357
r2_6_3,11,11191.01
rc2_10_3,18,20043.04
